#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.10000   0.30000    800.00   0.194822571110   0.197672566876   3.277110259216   0.585882773785      14    0.095369     0.21881       8    0.859152   19.997365
   0.10000   0.40000    800.00   0.192517998421   0.215558749134   3.127524844549   0.566050029923      13    0.066272     0.17493       9    1.094081   19.999526
   0.10000   0.50000    800.00   0.184068864902   0.240604443970   3.292882683945   0.507485118799      13    0.090776     0.22672       9    1.095103   19.997669
   0.10000   0.60000    800.00   0.182332502022   0.254909743946   3.143246537383   0.499255212555      12    0.048154     0.11658      10    1.393742   19.997603
   0.10000   0.70000    800.00   0.176733167998   0.274632374640   3.240824994956   0.454371487842      12     0.04896     0.10807      10    1.394803   20.001211
   0.10000   0.80000    800.00   0.174260297728   0.289088903221   3.162779479595   0.440734798060      11    0.024381    0.076567      11    1.777109   19.987611
   0.10000   0.90000    800.00   0.168557702930   0.308294249960   3.270883426431   0.397629953122      11    0.030922    0.077864      11    1.777159   19.994178
   0.10000   1.00000    800.00   0.166198201269   0.322624078117   3.204169166883   0.382471221759      10    0.020986    0.036636      12    2.263259   19.993493
   0.10000   0.10000    900.00   0.210376511367   0.139666129406   3.120001477554   0.695430541902      16     0.19011     0.74284       6    0.529316   19.997758
   0.10000   0.20000    900.00   0.204564731731   0.168717894750   3.015295329735   0.632598914546      15     0.12974     0.62355       7    0.674371   19.993954
