#Met Age[Gyr]   Teq[K] Mass[Me] f_env[%]    R_RCB[Re] R_20mbar[Re]  R_1nbar[Re] err_code
   1     0.10   879.11     6.00    20.00     5.810000    10.539557 1169.954486        1
   1     0.10   879.11     8.00     0.10     2.000000     2.320000    2.890000        0
   1     0.10   879.11     8.00     0.20     2.080000     2.440000    3.080000        0
   1     0.10   879.11     8.00     0.50     2.260000     2.680000    3.460000        0
   1     0.10   879.11     8.00     1.00     2.450000     2.960000    3.950000        0
   1     0.10   879.11     8.00     2.00     2.750000     3.400000    4.750000        0
   1     0.10   879.11     8.00     5.00     3.410000     4.430000    6.930000        0
   1     0.10   879.11     8.00    10.00     4.260000     5.880000   10.850000        0
   1     0.10   879.11     8.00    20.00     5.740000     8.526883   21.488884        1
   1     0.10   879.11    10.00     0.10     2.110000     2.380000    2.840000        0
   1     0.10   879.11    10.00     0.20     2.190000     2.490000    3.000000        0
   1     0.10   879.11    10.00     0.50     2.360000     2.710000    3.320000        0
   1     0.10   879.11    10.00     1.00     2.560000     2.970000    3.720000        0
   1     0.10   879.11    10.00     2.00     2.850000     3.370000    4.340000        0
   1     0.10   879.11    10.00     5.00     3.480000     4.260000    5.900000        0
   1     0.10   879.11    10.00    10.00     4.310000     5.490000    8.320000        0
   1     0.10   879.11    10.00    20.00     5.690000     7.630000   13.240000        0
   1     0.10   879.11    13.00     0.10     2.240000     2.470000    2.840000        0
   1     0.10   879.11    13.00     0.20     2.330000     2.570000    2.970000        0
   1     0.10   879.11    13.00     0.50     2.490000     2.780000    3.250000        0
   1     0.10   879.11    13.00     1.00     2.690000     3.020000    3.570000        0
   1     0.10   879.11    13.00     2.00     2.970000     3.370000    4.080000        0
   1     0.10   879.11    13.00     5.00     3.580000     4.160000    5.260000        0
   1     0.10   879.11    13.00    10.00     4.370000     5.220000    6.940000        0
   1     0.10   879.11    13.00    20.00     5.670000     6.990000    9.940000        0
   1     0.10   879.11    16.00     0.10     2.350000     2.550000    2.860000        0
   1     0.10   879.11    16.00     0.20     2.440000     2.650000    2.980000        0
   1     0.10   879.11    16.00     0.50     2.600000     2.840000    3.230000        0
   1     0.10   879.11    16.00     1.00     2.790000     3.070000    3.520000        0
